,carrier,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,other,paper pulp and print,textile and leather,transport equipment,wood and wood products
CL,biomass,0.0,0.0,6164.7,0.0,0.0,81332.66,0.0,0.0,13861026.12,44200726.04,0.0,0.0,0.0
CL,coal,0.0,0.0,1094669.09,1510756.14,0.0,910297.47,0.0,75883.05,1603927.96,0.0,0.0,0.0,0.0
CL,electricity,90552.91,286182.4,0.0,1217770.73,0.0,67317228.38,0.0,1582465.86,25788128.76,14349703.66,0.0,0.0,0.0
CL,gas,4578597.84,859266.24,29521.39,312299.75,0.0,6332466.7,0.0,282613.94,12270595.04,4388635.48,0.0,0.0,0.0
CL,heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,oil,29.85,3320238.43,115645.59,163257.71,0.0,64555790.69,0.0,6358296.97,20010712.78,6851683.72,0.0,0.0,0.0
CL,process emissions,10046186.83,0.0,0.0,58137.16,0.0,0.0,0.0,10431938.25,0.0,0.0,0.0,0.0,0.0
CL,low-temperature heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12623205.67,0.0,0.0,0.0,0.0
EG,coal,0.0,0.0,0.0,2491322.25,0.0,0.0,0.0,70274693.42,0.0,0.0,0.0,0.0,0.0
EG,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117214744.44,0.0,0.0,0.0,0.0
EG,gas,0.0,0.0,0.0,38065054.91,0.0,0.0,0.0,460675.22,147032156.44,0.0,0.0,0.0,0.0
EG,heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91264882.99,0.0,0.0,0.0,0.0
EG,process emissions,29994568.84,0.0,0.0,413157.48,0.0,0.0,960030.85,70033899.53,0.0,0.0,0.0,0.0,0.0
EG,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,low-temperature heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,biomass,92194.96,12848.09,97546.06,0.0,0.0,0.0,139.03,1488250.01,0.0,0.0,31623.81,0.0,7209.41
MA,coal,0.0,0.0,355287.22,0.0,0.0,0.0,56782.38,0.0,0.0,0.0,0.0,0.0,0.0
